global_index,sample_id,split,label,detected,score,x,y,w,h,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,left_mouth_x,left_mouth_y,right_mouth_x,right_mouth_y
0,train_0000,train,0,1,0.7750451564788818,26.456153869628906,12.653892517089844,213.1398468017578,226.6171112060547,83.59146881103516,81.28009796142578,165.72805786132812,98.3233642578125,106.63500213623047,133.7124481201172,72.82073211669922,174.91030883789062,133.1036376953125,189.25360107421875
1,train_0001,train,0,1,0.8834173679351807,19.70751953125,6.756278991699219,218.40228271484375,229.8294219970703,84.78160095214844,93.54475402832031,171.1588592529297,108.78575897216797,117.6905517578125,149.58267211914062,76.98518371582031,174.74136352539062,145.50131225585938,188.0970001220703
2,train_0002,train,0,1,0.8789075613021851,19.966819763183594,17.734695434570312,216.56687927246094,219.8189697265625,91.83891296386719,97.93083190917969,176.6868133544922,107.21684265136719,133.87396240234375,152.71925354003906,92.91547393798828,181.77671813964844,155.58917236328125,189.4351348876953
3,train_0003,train,0,1,0.8598918318748474,22.733505249023438,22.253150939941406,201.48268127441406,220.33811950683594,78.56398010253906,94.34774017333984,151.0442657470703,96.98568725585938,110.65270233154297,136.8094940185547,85.21189880371094,178.54522705078125,138.27005004882812,181.20553588867188
4,train_0004,train,0,1,0.8765071630477905,11.949455261230469,10.991500854492188,214.5087890625,234.906005859375,77.91500854492188,96.43111419677734,156.88037109375,103.47306060791016,114.59042358398438,150.83221435546875,85.44434356689453,193.00723266601562,137.73492431640625,198.4663848876953
5,train_0005,train,0,1,0.9262492060661316,20.84394073486328,7.263694763183594,213.81396484375,247.7769317626953,78.96810913085938,94.33586883544922,177.32424926757812,95.6844711303711,126.45487213134766,147.27200317382812,86.78882598876953,192.59432983398438,163.9561004638672,194.1741943359375
6,train_0006,train,0,1,0.9275849461555481,17.78968048095703,2.9985580444335938,219.81472778320312,249.4140167236328,82.16134643554688,90.13523864746094,179.9771270751953,90.08673095703125,133.42196655273438,145.36407470703125,93.05611419677734,191.64785766601562,169.728515625,191.24960327148438
7,train_0007,train,0,1,0.9043823480606079,11.95550537109375,4.6802520751953125,215.94757080078125,246.10916137695312,72.66677856445312,80.45072937011719,166.1334228515625,79.54043579101562,120.34256744384766,131.86639404296875,86.10672760009766,189.27374267578125,154.32272338867188,187.8946533203125
8,train_0008,train,0,1,0.9301865696907043,20.816314697265625,-1.54248046875,219.025634765625,251.91213989257812,82.89266967773438,88.63028717041016,183.4951629638672,92.58055877685547,131.25460815429688,145.6706085205078,88.50067138671875,192.47796630859375,165.9285430908203,196.1338653564453
9,train_0009,train,0,1,0.9306182861328125,24.259849548339844,0.06897735595703125,218.6613311767578,251.51893615722656,88.66928100585938,86.2197265625,186.83584594726562,87.9072036743164,137.39674377441406,143.19656372070312,95.83795166015625,190.80340576171875,171.74317932128906,192.75204467773438
10,train_0010,train,0,1,0.9337315559387207,17.547119140625,0.6678924560546875,214.6048583984375,251.60440063476562,78.44367980957031,90.63240814208984,173.53176879882812,82.01846313476562,135.23202514648438,139.9183349609375,100.25318145751953,192.96774291992188,172.8580780029297,184.96658325195312
11,train_0011,train,0,1,0.9060973525047302,9.198959350585938,9.06402587890625,218.808837890625,241.13037109375,82.51144409179688,83.55785369873047,169.7579803466797,99.08576965332031,119.61361694335938,141.8282928466797,75.80204772949219,181.97665405273438,140.13624572753906,195.65960693359375
12,train_0012,train,1,1,0.9231133460998535,22.44647216796875,8.882919311523438,209.41200256347656,243.62188720703125,75.7132568359375,89.00382232666016,172.73500061035156,89.82913208007812,121.34708404541016,142.08572387695312,83.22708892822266,184.29119873046875,163.9161376953125,185.33743286132812
13,train_0013,train,1,1,0.9178782105445862,27.555191040039062,6.600395202636719,205.97134399414062,244.26380920410156,81.28495025634766,91.1984634399414,175.40658569335938,99.38572692871094,120.09024047851562,148.11663818359375,80.2974624633789,182.66653442382812,159.17677307128906,189.41781616210938
14,train_0014,train,1,1,0.9288521409034729,19.2535400390625,4.335853576660156,215.06231689453125,247.56541442871094,72.46795654296875,84.43061065673828,175.4188232421875,89.094482421875,116.69913482666016,140.1934814453125,74.12384796142578,180.69058227539062,162.49322509765625,185.21240234375
15,train_0015,train,1,1,0.8914653062820435,18.2532958984375,6.7286224365234375,225.75439453125,255.82672119140625,75.00666809082031,97.87213134765625,167.08511352539062,99.550048828125,111.40109252929688,153.23373413085938,81.89936828613281,194.3003692626953,157.60252380371094,196.5302734375
16,train_0016,train,1,1,0.9122627377510071,22.7772216796875,5.602699279785156,221.33987426757812,242.3064727783203,81.87312316894531,92.07210540771484,186.28750610351562,97.39087677001953,129.7119903564453,148.3153839111328,82.8080825805664,184.67034912109375,170.6742706298828,189.38722229003906
17,train_0017,train,1,1,0.9228768348693848,27.360015869140625,5.354804992675781,215.18304443359375,250.75181579589844,82.90519714355469,92.06268310546875,185.01678466796875,97.21283721923828,128.25640869140625,148.48809814453125,82.8250732421875,185.0712127685547,172.18531799316406,189.16799926757812
18,train_0018,train,0,1,0.859621524810791,18.030967712402344,18.90166473388672,228.8693084716797,232.4175262451172,70.92140197753906,120.38653564453125,155.17164611816406,120.75477600097656,103.13469696044922,167.7830352783203,83.635498046875,206.5015869140625,144.98593139648438,206.10919189453125
19,train_0019,train,0,1,0.6984566450119019,20.214691162109375,23.2177734375,226.0411376953125,230.80191040039062,75.9014892578125,115.40272521972656,148.1422882080078,124.60432434082031,90.99642181396484,165.99038696289062,75.20035552978516,205.36631774902344,125.829833984375,213.55731201171875
20,train_0020,train,0,1,0.8188657164573669,15.646842956542969,8.60162353515625,225.89039611816406,241.87924194335938,80.462890625,94.94050598144531,166.60972595214844,112.83753204345703,107.08245086669922,149.0164794921875,67.63510131835938,187.75051879882812,133.12222290039062,203.50125122070312
